message;severity;node;stamp;location
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022825.708848862";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 34";"20";"cone_slam";"1753022825.708143121";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 33 with 6 cone observations";"20";"cone_slam";"1753022825.459691003";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022825.459652513";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 33";"20";"cone_slam";"1753022825.459083058";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 32 with 8 cone observations";"20";"cone_slam";"1753022825.258920147";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022825.258890374";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 32";"20";"cone_slam";"1753022825.258269195";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 8 cones";"20";"cone_slam";"1753022825.158976711";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 31 with 9 cone observations";"20";"cone_slam";"1753022825.059373277";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
